연도,시도,입학자수,,전문대학,,교육대학,,일반대학,,방송통신대학,,산업대학,,기술대학,,각종학교,,원격및사이버대학,,사내대학,,전공대학,,기능대학,,대학원,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,계,,석사,,박사,
,,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여
1999,전체,795998,356583,306802,147553,4840,3715,319278,137967,49648,29495,30882,8572,0,0,275,98,0,0,0,0,0,0,0,0,84273,29183,73826,26647,10447,2536
2000,전체,819779,381957,318135,158102,5075,3719,321399,145611,47387,28914,33240,9860,100,7,364,158,0,0,0,0,0,0,0,0,94079,35586,82374,32487,11705,3099
2001,전체,839516,393342,322687,160023,4959,3620,327031,148434,50949,31151,33870,10465,100,8,358,157,0,0,0,0,0,0,0,0,99562,39484,86992,35937,12570,3547
2002,전체,819052,391921,311304,158268,4971,3620,320534,146576,47175,30165,31896,10507,100,10,288,101,0,0,0,0,0,0,0,0,102784,42674,89557,38640,13227,4034
2003,전체,776291,374483,275318,143866,5166,3693,321116,145728,40195,26447,29720,9532,96,10,192,66,0,0,0,0,0,0,0,0,104488,45141,91178,40813,13310,4328
2004,전체,773741,372952,259182,135933,5783,3961,329509,148753,35203,23501,28444,9071,95,23,195,66,12044,5635,29,0,0,0,0,0,103257,46009,88763,41092,14494,4917
2005,전체,769034,371336,251283,130882,6188,4267,326284,148177,32389,21729,28197,8976,89,8,232,84,16086,8446,31,0,0,0,0,0,108255,48767,92151,43219,16104,5548
2006,전체,775605,376524,254433,131303,6235,4086,335581,153444,31545,20821,22061,7678,98,15,179,48,14529,7607,32,1,0,0,0,0,110912,51521,93907,45582,17005,5939
2007,전체,786757,381933,255395,131403,5741,3918,342250,157169,32493,21118,22304,7743,76,19,261,90,14209,7486,72,1,0,0,0,0,113956,52986,95977,46595,17979,6391
2008,전체,786003,384428,249291,129625,5459,3708,342916,157679,33725,21637,22374,7685,88,25,316,108,18401,10214,62,2,0,0,0,0,113371,53745,95183,46884,18188,6861
2009,전체,791025,387641,242525,126681,5234,3561,347750,158709,34157,22043,19396,6810,73,22,166,62,21564,12315,72,0,0,0,0,0,120088,57438,101159,50138,18929,7300
2010,전체,817225,407556,249144,130829,4862,3408,358511,167820,31240,20838,17572,6456,70,20,342,151,28458,16676,68,2,0,0,0,0,126958,61356,105731,53024,21227,8332
2011,전체,832631,412417,249693,129852,4395,3006,361686,170182,31619,20750,15582,5818,95,25,946,514,29043,17168,63,2,3879,2725,8758,1172,126872,61203,105353,52732,21519,8471
2012,전체,817142,400870,238952,124204,3923,2687,372941,172138,28822,18863,2718,996,76,26,830,482,29209,16520,80,13,4302,3146,9173,1167,126116,60628,102788,51477,23328,9151
2013,전체,788994,389993,227707,120437,3892,2630,365515,170403,29576,19725,2944,1192,80,21,785,477,17254,9638,323,104,4364,3020,9694,1104,126860,61242,101940,51384,24920,9858
2014,전체,791242,393975,221750,116295,3868,2738,363655,171998,25406,16870,3281,1383,68,15,655,408,30455,17620,312,67,4279,2973,9756,1154,127757,62454,101833,52133,25924,10321
2015,전체,774611,389880,214466,112956,3850,2736,355772,172289,21730,14350,3210,1426,46,11,659,435,31173,18130,243,41,4481,3072,9780,993,129201,63441,103047,52890,26154,10551
2016,전체,756527,385595,208808,110548,3849,2727,348393,172489,18301,12310,3120,1402,46,15,633,405,31957,18553,189,24,4525,3135,9734,957,126972,63030,100227,52224,26745,10806
2017,전체,735581,375432,200021,106185,3863,2665,343076,168948,16835,11361,3018,1384,47,17,608,400,30460,17815,157,34,5074,3504,9502,927,122920,62192,97185,51535,25735,10657
2018,전체,734291,376264,198110,105504,3866,2660,342841,170002,16463,10840,2821,1365,42,10,593,391,31342,18355,155,25,5226,3546,9127,866,123705,62700,97857,51728,25848,10972
2019,전체,733517,373516,197897,104818,3870,2559,343248,168499,14689,9501,2898,1362,29,6,594,376,31753,18320,138,39,5908,3854,8571,808,123922,63374,96694,51509,27228,11865
2020,전체,726981,370632,188533,100031,3861,2510,342699,167792,13161,8326,2824,1365,31,6,564,372,34067,19459,106,28,5962,3851,8116,733,127057,66159,98402,53400,28655,12759
2021,전체,697318,354690,166707,89624,3864,2477,329306,159611,12670,7693,2379,1183,27,11,585,385,38273,21758,100,25,4910,3015,7565,639,130932,68269,101338,55018,29594,13251
1999,서울,194061,97674,22906,14018,690,566,77659,37383,49648,29495,2341,585,0,0,0,0,0,0,0,0,0,0,0,0,40817,15627,35452,14085,5365,1542
2000,서울,195110,101819,23239,14496,674,540,77690,39200,47387,28914,2352,607,100,7,0,0,0,0,0,0,0,0,0,0,43668,18055,38036,16304,5632,1751
2001,서울,199994,105389,21682,13828,610,482,77431,38924,50949,31151,2392,762,100,8,0,0,0,0,0,0,0,0,0,0,46830,20234,40669,18196,6161,2038
2002,서울,198021,107070,23679,15366,521,406,76245,38783,47175,30165,2288,758,100,10,0,0,0,0,0,0,0,0,0,0,48013,21582,41638,19423,6375,2159
2003,서울,191661,104946,23201,15221,528,400,76728,39835,40195,26447,2403,703,96,10,0,0,0,0,0,0,0,0,0,0,48510,22330,42055,19997,6455,2333
2004,서울,196856,106160,21852,14123,524,394,78613,40407,35203,23501,2393,821,95,23,0,0,8914,3850,0,0,0,0,0,0,49262,23041,42129,20354,7133,2687
2005,서울,193679,106313,21395,13975,597,449,75650,39870,32389,21729,2505,881,89,8,0,0,11072,5444,0,0,0,0,0,0,49982,23957,42417,20971,7565,2986
2006,서울,192844,105252,20976,13660,603,428,76120,39624,31545,20821,2234,777,98,15,0,0,10687,5241,0,0,0,0,0,0,50581,24686,42350,21492,8231,3194
2007,서울,191588,105681,21590,13875,562,421,75669,40425,32493,21118,2123,701,76,19,0,0,8258,4046,0,0,0,0,0,0,50817,25076,42433,21754,8384,3322
2008,서울,191681,106750,21265,13835,530,403,73674,39754,33725,21637,2146,680,88,25,0,0,11286,5962,0,0,0,0,0,0,48967,24454,40768,21129,8199,3325
2009,서울,199897,111367,21215,13924,503,397,74467,39737,34157,22043,2123,779,73,22,0,0,14617,7485,0,0,0,0,0,0,52742,26980,44172,23291,8570,3689
2010,서울,209578,117679,21151,13900,484,385,76696,41385,31240,20838,2173,704,70,20,0,0,20601,11241,0,0,0,0,0,0,57163,29206,47223,25119,9940,4087
2011,서울,214280,120175,21197,13767,439,342,76527,40806,31619,20750,2159,723,95,25,518,340,20554,11421,0,0,3879,2725,1073,202,56220,29074,46672,24947,9548,4127
2012,서울,215112,118924,20398,13183,396,301,82647,43136,28822,18863,0,0,76,26,559,342,20476,10641,24,12,4302,3146,1104,181,56308,29093,45577,24617,10731,4476
2013,서울,204229,113815,19605,12963,387,276,81216,42599,29576,19725,0,0,80,21,525,335,10937,5508,102,64,4364,3020,1170,180,56267,29124,44594,24282,11673,4842
2014,서울,212963,118940,19740,13046,385,307,83454,44479,25406,16870,0,0,68,15,558,358,20816,11054,74,44,4279,2973,1134,174,57049,29620,44771,24526,12278,5094
2015,서울,210178,118931,19157,12820,380,296,83446,46088,21730,14350,0,0,46,11,549,378,21656,11474,37,24,4481,3072,1150,255,57546,30163,45379,25038,12167,5125
2016,서울,207113,117983,19424,13027,387,307,83883,46680,18301,12310,0,0,46,15,548,351,22617,12140,26,16,4525,3135,1091,265,56265,29737,44092,24583,12173,5154
2017,서울,202310,116191,19142,12762,388,304,83395,46714,16835,11361,0,0,47,17,561,372,20878,11168,35,23,5074,3504,1069,275,54886,29691,43251,24582,11635,5109
2018,서울,202833,116727,18688,12486,388,307,83729,47609,16463,10840,0,0,42,10,555,371,21552,11594,26,12,5226,3546,1113,263,55051,29689,43723,24690,11328,4999
2019,서울,202194,115302,18690,12520,389,284,83541,46916,14689,9501,0,0,29,6,554,369,22004,11563,23,12,5908,3854,984,250,55383,30027,43925,24887,11458,5140
2020,서울,204510,116508,18762,12367,394,286,83875,47408,13161,8326,0,0,31,6,549,371,23535,12082,22,15,5962,3851,1027,225,57192,31571,44820,25860,12372,5711
2021,서울,209753,118390,17988,11686,395,308,84771,47547,12670,7693,0,0,27,11,562,384,27221,14148,24,16,4910,3015,978,196,60207,33386,46935,27107,13272,6279
1999,부산,66775,31832,29132,15233,513,421,29505,13653,0,0,1469,459,0,0,0,0,0,0,0,0,0,0,0,0,6156,2066,5251,1875,905,191
2000,부산,69600,34769,29357,15818,406,281,31204,15399,0,0,1878,650,0,0,0,0,0,0,0,0,0,0,0,0,6755,2621,5775,2380,980,241
2001,부산,69621,34725,28777,15432,406,285,31613,15479,0,0,1881,714,0,0,0,0,0,0,0,0,0,0,0,0,6944,2815,5859,2525,1085,290
2002,부산,68491,33457,28305,14485,437,294,31508,15260,0,0,1852,737,0,0,0,0,0,0,0,0,0,0,0,0,6389,2681,5390,2320,999,361
2003,부산,62919,30659,21664,11690,489,346,31897,14940,0,0,1804,585,0,0,0,0,0,0,0,0,0,0,0,0,7065,3098,5976,2730,1089,368
2004,부산,61361,30203,19482,10969,631,412,32344,15003,0,0,1818,578,0,0,0,0,479,292,0,0,0,0,0,0,6607,2949,5536,2563,1071,386
2005,부산,60370,29324,18702,10241,631,413,31853,14711,0,0,1683,488,0,0,0,0,378,212,0,0,0,0,0,0,7123,3259,5918,2837,1205,422
2006,부산,62136,30293,18285,9808,637,410,35295,16331,0,0,0,0,0,0,0,0,308,209,0,0,0,0,0,0,7611,3535,6333,3071,1278,464
2007,부산,62895,30469,18689,9864,582,378,35369,16312,0,0,0,0,0,0,0,0,320,199,0,0,0,0,0,0,7935,3716,6559,3227,1376,489
2008,부산,62224,30366,17682,9286,558,364,35710,16504,0,0,0,0,0,0,0,0,664,498,0,0,0,0,0,0,7610,3714,6275,3182,1335,532
2009,부산,62807,30136,16645,8652,525,344,35892,16281,0,0,0,0,0,0,0,0,1164,783,0,0,0,0,0,0,8581,4076,7139,3522,1442,554
2010,부산,64835,31644,18022,9361,493,319,36533,17025,0,0,0,0,0,0,0,0,1036,690,0,0,0,0,0,0,8751,4249,7233,3641,1518,608
2011,부산,65498,32034,18615,9471,443,302,36388,17280,0,0,0,0,0,0,0,0,1193,807,0,0,0,0,486,17,8373,4157,6916,3552,1457,605
2012,부산,64161,30851,17481,8868,392,255,36197,16855,0,0,0,0,0,0,0,0,1166,825,0,0,0,0,519,15,8406,4033,6740,3368,1666,665
2013,부산,62301,30247,17042,8812,387,256,35448,16763,0,0,0,0,0,0,0,0,555,409,0,0,0,0,551,21,8318,3986,6679,3338,1639,648
2014,부산,62575,30667,16407,8436,385,248,35208,16663,0,0,0,0,0,0,0,0,1336,1006,0,0,0,0,551,25,8688,4289,6919,3551,1769,738
2015,부산,60081,29479,15720,7865,388,256,33580,16208,0,0,0,0,0,0,0,0,1194,911,0,0,0,0,563,17,8636,4222,6994,3528,1642,694
2016,부산,58479,29567,14977,7683,387,250,32956,16444,0,0,0,0,0,0,0,0,1196,866,0,0,0,0,562,16,8401,4308,6619,3531,1782,777
2017,부산,56260,28233,13731,7105,383,249,32459,15962,0,0,0,0,0,0,0,0,1105,878,0,0,0,0,549,13,8033,4026,6349,3312,1684,714
2018,부산,56307,28347,13521,7112,383,247,32754,16068,0,0,0,0,0,0,0,0,1180,880,0,0,0,0,526,11,7943,4029,6281,3278,1662,751
2019,부산,56069,28069,13117,6795,385,249,32774,16026,0,0,0,0,0,0,0,0,1165,854,0,0,0,0,520,14,8108,4131,6255,3274,1853,857
2020,부산,53799,27311,11054,6174,386,226,32459,15596,0,0,0,0,0,0,0,0,1363,993,0,0,0,0,437,17,8100,4305,6291,3439,1809,866
2021,부산,50377,25491,9671,5528,383,231,30539,14601,0,0,0,0,0,0,0,0,1234,894,0,0,0,0,410,19,8140,4218,6242,3340,1898,878
1999,대구,37004,17264,21970,10246,590,429,10892,5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3552,1325,3031,1192,521,133
2000,대구,38387,19068,23037,11425,617,448,10901,5635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3832,1560,3226,1391,606,169
2001,대구,37803,18614,22714,11214,570,402,10691,5364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3828,1634,3198,1431,630,203
2002,대구,35435,17285,20827,10267,563,399,10075,4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3970,1769,3322,1543,648,226
2003,대구,31721,15808,17044,8689,572,405,9999,4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106,1898,3435,1658,671,240
2004,대구,32727,15919,17031,8415,634,395,10350,4738,0,0,0,0,0,0,0,0,468,330,0,0,0,0,0,0,4244,2041,3634,1822,610,219
2005,대구,32308,15668,16591,8238,631,431,10467,4792,0,0,0,0,0,0,0,0,531,350,0,0,0,0,0,0,4088,1857,3426,1618,662,239
2006,대구,33835,16214,17425,8170,629,403,10605,5006,0,0,0,0,0,0,0,0,644,406,0,0,0,0,0,0,4532,2229,3852,1986,680,243
2007,대구,34429,16190,18292,8452,580,409,10086,4586,0,0,0,0,0,0,0,0,908,532,0,0,0,0,0,0,4563,2211,3799,1918,764,293
2008,대구,34158,16385,17742,8275,556,352,10261,4826,0,0,0,0,0,0,0,0,1095,571,0,0,0,0,0,0,4504,2361,3833,2077,671,284
2009,대구,34129,16514,17773,8424,564,385,10002,4706,0,0,0,0,0,0,0,0,1099,605,0,0,0,0,0,0,4691,2394,4042,2120,649,274
2010,대구,35115,17217,18849,9046,529,367,9948,4785,0,0,0,0,0,0,0,0,1104,624,0,0,0,0,0,0,4685,2395,4000,2076,685,319
2011,대구,36238,17781,18842,9102,475,307,9854,4775,0,0,0,0,0,0,0,0,1697,1050,0,0,0,0,808,143,4562,2404,3909,2084,653,320
2012,대구,35712,17491,18361,8812,410,291,9875,4855,0,0,0,0,0,0,0,0,1732,1151,0,0,0,0,805,157,4529,2225,3799,1907,730,318
2013,대구,36138,17499,17641,8611,421,289,10720,4887,0,0,0,0,0,0,0,0,1723,1127,0,0,0,0,845,140,4788,2445,4026,2097,762,348
2014,대구,35189,17290,17041,8426,418,289,10717,5010,0,0,0,0,0,0,0,0,1703,1141,0,0,0,0,854,145,4456,2279,3770,1964,686,315
2015,대구,34600,17022,16340,8069,417,287,10670,5139,0,0,0,0,0,0,0,0,1714,1116,0,0,0,0,848,124,4611,2287,3907,1970,704,317
2016,대구,34015,17009,16126,7872,410,265,10306,5279,0,0,0,0,0,0,0,0,1719,1105,0,0,0,0,816,126,4638,2362,3850,2030,788,332
2017,대구,33339,16523,15784,7783,412,262,10200,4996,0,0,0,0,0,0,0,0,1732,1150,0,0,0,0,771,110,4440,2222,3653,1894,787,328
2018,대구,32843,16334,15635,7666,415,260,10179,4932,0,0,0,0,0,0,0,0,1627,1062,0,0,0,0,637,92,4350,2322,3546,1962,804,360
2019,대구,33246,16500,15943,7809,412,259,10184,4892,0,0,0,0,0,0,0,0,1601,1077,0,0,0,0,536,73,4570,2390,3695,2014,875,376
2020,대구,33107,16701,15358,7725,413,265,10257,4904,0,0,0,0,0,0,0,0,1785,1158,0,0,0,0,451,61,4843,2588,3847,2136,996,452
2021,대구,31027,15767,13902,7073,417,244,10087,4715,0,0,0,0,0,0,0,0,1726,1218,0,0,0,0,360,40,4535,2477,3674,2130,861,347
1999,인천,21026,9289,12528,6518,578,371,5958,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,490,1749,466,213,24
2000,인천,21165,10075,12525,7025,660,404,5929,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2051,601,1824,571,227,30
2001,인천,21869,10300,12917,7004,661,402,6090,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,724,1969,680,232,44
2002,인천,22346,10937,13517,7414,653,434,5849,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2327,844,2063,795,264,49
2003,인천,22208,10971,13412,7431,663,411,5994,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139,819,1935,769,204,50
2004,인천,22008,10435,12872,6907,660,404,6202,2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274,926,1968,850,306,76
2005,인천,21479,10059,12355,6504,510,328,6364,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,968,1951,887,299,81
2006,인천,20533,9716,10508,5447,513,310,7014,2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2498,1090,2191,1015,307,75
2007,인천,20516,9635,10560,5400,472,304,6850,2779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,1152,2283,1039,351,113
2008,인천,20428,9747,10291,5405,439,276,6822,2803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2876,1263,2461,1154,415,109
2009,인천,21107,10220,10285,5474,412,286,7215,3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3195,1398,2720,1262,475,136
2010,인천,18937,9439,7321,4307,376,283,8111,3426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129,1423,2675,1276,454,147
2011,인천,20585,10049,7523,4419,697,497,8235,3526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,127,3148,1480,2675,1339,473,141
2012,인천,19440,9205,7432,4333,645,469,7279,2868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,104,3046,1431,2608,1282,438,149
2013,인천,19373,9205,7275,4231,652,488,7130,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,128,3047,1459,2568,1284,479,175
2014,인천,19740,9520,7669,4564,639,464,7072,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,143,3083,1477,2586,1308,497,169
2015,인천,19448,9490,7498,4484,646,459,7082,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,117,2931,1429,2474,1259,457,170
2016,인천,19194,9453,7365,4370,659,527,6948,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,97,2942,1424,2451,1256,491,168
2017,인천,18806,9130,7188,4239,657,495,6800,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,129,2944,1444,2502,1274,442,170
2018,인천,18948,9332,7440,4264,658,517,6965,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,134,2791,1361,2337,1200,454,161
2019,인천,18783,9154,7418,4262,659,501,6970,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,111,2648,1287,2199,1123,449,164
2020,인천,18969,9260,7418,4199,656,501,7044,3097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,80,2777,1383,2304,1204,473,179
2021,인천,18690,8861,6886,3805,657,487,7092,2953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,79,3021,1537,2560,1365,461,172
1999,광주,33559,15278,13754,6671,368,277,13026,5982,0,0,3035,1183,0,0,0,0,0,0,0,0,0,0,0,0,3376,1165,2911,1048,465,117
2000,광주,34673,16282,13855,6939,408,308,13137,6181,0,0,3288,1335,0,0,0,0,0,0,0,0,0,0,0,0,3985,1519,3398,1344,587,175
2001,광주,34781,16349,14069,6975,405,303,13104,6238,0,0,3235,1297,0,0,0,0,0,0,0,0,0,0,0,0,3968,1536,3379,1386,589,150
2002,광주,33308,16104,13211,6710,437,308,12765,6292,0,0,2682,1156,0,0,0,0,0,0,0,0,0,0,0,0,4213,1638,3528,1423,685,215
2003,광주,31241,15373,12065,6362,473,310,12761,6086,0,0,1774,819,0,0,0,0,0,0,0,0,0,0,0,0,4168,1796,3496,1581,672,215
