연도,시도,입학정원,전문대학,교육대학,일반대학,방송통신대학,산업대학,기술대학,각종학교,원격및사이버대학,사내대학,전공대학,기능대학,대학원,,
,,,,,,,,,,,,,,계,석사,박사
1999,전체,807562,294250,4285,311240,66400,31065,0,760,0,0,0,0,99562,87596,11966
2000,전체,820777,294175,4735,314410,66400,32955,100,500,0,0,0,0,107502,94450,13052
2001,전체,827584,292035,4735,316780,66400,33220,100,500,0,0,0,0,113814,99635,14179
2002,전체,842866,293174,4855,324309,66400,34445,100,500,0,0,0,0,119083,103605,15478
2003,전체,843693,285922,5015,327040,66400,35193,100,500,0,0,0,0,123523,107695,15828
2004,전체,856976,277223,5615,327740,66400,31678,100,540,24500,65,0,0,123115,106238,16877
2005,전체,838582,266090,6015,323537,64900,29899,100,540,23550,40,0,0,123911,105979,17932
2006,전체,800920,247604,6015,321107,59700,21587,100,480,22410,40,0,0,121877,103227,18650
2007,전체,787035,238069,5529,319882,59700,21309,100,500,20747,80,0,0,121119,101891,19228
2008,전체,788806,233729,5227,321752,59700,21283,100,440,25680,70,0,0,120825,101177,19648
2009,전체,791972,231707,4921,325408,59700,18575,100,320,26385,136,0,0,124720,105023,19697
2010,전체,786587,223312,4499,327624,59700,16407,25,520,27675,80,0,0,126745,106300,20445
2011,전체,801064,221116,4053,329541,59700,14411,25,1218,31125,80,3739,7570,128486,107217,21269
2012,전체,793135,209324,3583,341908,59700,2838,25,1218,32720,105,4119,7895,129700,105603,24097
2013,전체,772776,199969,3583,340980,59700,2810,25,1118,20965,425,4394,8150,130657,105258,25399
2014,전체,776371,192177,3583,340586,59700,2815,25,698,33370,526,4218,8150,130523,105088,25435
2015,전체,758111,183314,3584,331067,59700,2740,25,653,33410,319,4394,8183,130722,105227,25495
2016,전체,743161,178050,3582,321369,59700,2740,25,649,33410,270,4394,8180,130792,105125,25667
2017,전체,732125,172692,3584,316525,59700,2632,25,645,33410,265,5033,8150,129464,103840,25624
2018,전체,721678,168014,3583,313233,57700,2442,25,641,33410,235,5337,7830,129228,103862,25366
2019,전체,717992,166442,3581,313123,55200,2442,25,637,33872,189,5746,7435,129300,103920,25380
2020,전체,713690,163252,3583,312089,55050,2388,25,633,33945,138,6246,7230,129111,103734,25377
2021,전체,707342,155990,3583,313073,55050,2350,25,629,33945,209,6246,7101,129141,103786,25355
1999,서울,211126,19980,440,74545,66400,2210,0,0,0,0,0,0,47551,41506,6045
2000,서울,213639,19980,510,74421,66400,2210,100,0,0,0,0,0,50018,43366,6652
2001,서울,213914,18980,510,73796,66400,2290,100,0,0,0,0,0,51838,44736,7102
2002,서울,215583,18832,510,73300,66400,2290,100,0,0,0,0,0,54151,46374,7777
2003,서울,217086,18562,510,73260,66400,2290,100,0,0,0,0,0,55964,48055,7909
2004,서울,234914,18094,510,73593,66400,2290,100,0,17100,0,0,0,56827,48444,8383
2005,서울,230191,18036,580,70927,64900,2290,100,0,17200,0,0,0,56158,47437,8721
2006,서울,220600,17220,580,70338,59700,2061,100,0,15910,0,0,0,54691,45632,9059
2007,서울,215540,17160,533,69326,59700,2061,100,0,12987,0,0,0,53673,44563,9110
2008,서울,215697,17160,504,68085,59700,2061,100,0,16150,0,0,0,51937,42892,9045
2009,서울,217580,17084,479,66158,59700,2061,100,0,18575,0,0,0,53423,44419,9004
2010,서울,221964,17030,445,67854,59700,2061,25,0,19375,0,0,0,55474,45688,9786
2011,서울,229841,16820,401,67854,59700,2061,25,558,21690,0,3739,925,56068,46093,9975
2012,서울,233463,16526,355,72811,59700,0,25,558,22090,25,4119,925,56329,44833,11496
2013,서울,224591,16460,355,72234,59700,0,25,558,13565,145,4394,950,56205,44207,11998
2014,서울,234836,16400,355,74255,59700,0,25,558,22430,146,4218,920,55829,43936,11893
2015,서울,234307,16168,356,73769,59700,0,25,558,22430,70,4394,928,55909,43928,11981
2016,서울,233203,16036,355,72735,59700,0,25,558,22430,66,4394,890,56014,44113,11901
2017,서울,232436,15717,356,72324,59700,0,25,558,22430,35,5033,880,55378,43548,11830
2018,서울,230041,15280,355,71994,57700,0,25,558,22430,66,5337,875,55421,43746,11675
2019,서울,227869,15182,353,71900,55200,0,25,558,22850,23,5746,825,55207,43631,11576
2020,서울,227657,15045,355,71753,55050,0,25,558,22415,22,6246,825,55363,43746,11617
2021,서울,227931,14523,355,72467,55050,0,25,558,22415,24,6246,825,55443,43859,11584
1999,부산,63586,26440,360,28940,0,1360,0,0,0,0,0,0,6486,5580,906
2000,부산,65574,25880,395,30145,0,1760,0,0,0,0,0,0,7394,6364,1030
2001,부산,65666,25220,395,30636,0,1760,0,0,0,0,0,0,7655,6566,1089
2002,부산,66529,25212,425,31258,0,1760,0,0,0,0,0,0,7874,6747,1127
2003,부산,64457,22798,475,31298,0,1760,0,0,0,0,0,0,8126,6994,1132
2004,부산,64209,21974,613,31087,0,1760,0,0,600,0,0,0,8175,6985,1190
2005,부산,63262,21220,613,30911,0,1760,0,0,600,0,0,0,8158,6901,1257
2006,부산,60157,17531,613,33159,0,0,0,0,600,0,0,0,8254,6955,1299
2007,부산,59481,17109,564,32929,0,0,0,0,600,0,0,0,8279,6881,1398
2008,부산,59357,17016,533,32890,0,0,0,0,600,0,0,0,8318,6920,1398
2009,부산,60864,16955,527,33300,0,0,0,0,1360,0,0,0,8722,7288,1434
2010,부산,60513,16867,454,33300,0,0,0,0,1360,0,0,0,8532,7092,1440
2011,부산,60589,16516,406,33360,0,0,0,0,1360,0,0,415,8532,7060,1472
2012,부산,59545,15762,356,33115,0,0,0,0,1360,0,0,445,8507,7022,1485
2013,부산,58129,15273,356,32950,0,0,0,0,630,0,0,470,8450,6922,1528
2014,부산,58102,14732,356,32665,0,0,0,0,1430,0,0,470,8449,6896,1553
2015,부산,55960,13943,356,31341,0,0,0,0,1430,0,0,470,8420,6875,1545
2016,부산,54476,13241,356,30577,0,0,0,0,1430,0,0,470,8402,6855,1547
2017,부산,53488,12695,356,30135,0,0,0,0,1430,0,0,470,8402,6853,1549
2018,부산,52733,11938,356,30185,0,0,0,0,1430,0,0,445,8379,6828,1551
2019,부산,52665,11784,356,30195,0,0,0,0,1430,0,0,445,8455,6892,1563
2020,부산,52212,11553,356,30080,0,0,0,0,1430,0,0,385,8408,6839,1569
2021,부산,50748,10130,356,30049,0,0,0,0,1430,0,0,385,8398,6854,1544
1999,대구,34404,19320,520,10795,0,0,0,0,0,0,0,0,3769,3223,546
2000,대구,34790,19520,555,10465,0,0,0,0,0,0,0,0,4250,3602,648
2001,대구,34847,19560,555,10352,0,0,0,0,0,0,0,0,4380,3724,656
2002,대구,34438,19476,555,9825,0,0,0,0,0,0,0,0,4582,3905,677
2003,대구,34396,19334,555,9795,0,0,0,0,0,0,0,0,4712,4030,682
2004,대구,35692,18990,614,9735,0,0,0,0,1500,0,0,0,4853,4150,703
2005,대구,33979,17854,614,9860,0,0,0,0,800,0,0,0,4851,4148,703
2006,대구,32923,16604,614,9949,0,0,0,0,800,0,0,0,4956,4193,763
2007,대구,31969,16424,564,9491,0,0,0,0,800,0,0,0,4690,3997,693
2008,대구,31904,16374,533,9471,0,0,0,0,800,0,0,0,4726,4043,683
2009,대구,31399,16204,513,9094,0,0,0,0,800,0,0,0,4788,4104,684
2010,대구,30843,15795,480,9086,0,0,0,0,800,0,0,0,4682,4028,654
2011,대구,31969,15778,433,9056,0,0,0,0,1200,0,0,715,4787,4093,694
2012,대구,31708,15459,383,9056,0,0,0,0,1300,0,0,715,4795,4101,694
2013,대구,32358,15052,383,9993,0,0,0,0,1300,0,0,735,4895,4180,715
2014,대구,31667,14441,383,10043,0,0,0,0,1300,0,0,735,4765,4040,725
2015,대구,31223,13952,383,9978,0,0,0,0,1300,0,0,735,4875,4150,725
2016,대구,30588,13678,383,9557,0,0,0,0,1300,0,0,735,4935,4190,745
2017,대구,29841,13343,383,9378,0,0,0,0,1300,0,0,680,4757,4012,745
2018,대구,29852,13145,383,9388,0,0,0,0,1300,0,0,590,5046,4231,815
2019,대구,29718,13024,383,9439,0,0,0,0,1300,0,0,505,5067,4222,845
2020,대구,29589,12910,383,9439,0,0,0,0,1300,0,0,505,5052,4207,845
2021,대구,29297,12735,383,9439,0,0,0,0,1300,0,0,450,4990,4165,825
1999,인천,20054,11160,560,5780,0,0,0,0,0,0,0,0,2554,2354,200
2000,인천,20355,11360,640,5780,0,0,0,0,0,0,0,0,2575,2313,262
2001,인천,20509,11360,640,5780,0,0,0,0,0,0,0,0,2729,2434,295
2002,인천,20631,11364,640,5810,0,0,0,0,0,0,0,0,2817,2509,308
2003,인천,20675,11288,640,5850,0,0,0,0,0,0,0,0,2897,2569,328
2004,인천,20527,11136,640,5850,0,0,0,0,0,0,0,0,2901,2556,345
2005,인천,20584,11136,500,5990,0,0,0,0,0,0,0,0,2958,2613,345
2006,인천,19069,9168,500,6538,0,0,0,0,0,0,0,0,2863,2536,327
2007,인천,18680,9117,460,6313,0,0,0,0,0,0,0,0,2790,2434,356
2008,인천,18775,9117,430,6313,0,0,0,0,0,0,0,0,2915,2530,385
2009,인천,19443,9117,801,6376,0,0,0,0,0,0,0,0,3149,2754,395
2010,인천,18010,6616,733,7376,0,0,0,0,0,0,0,0,3285,2869,416
2011,인천,18841,6616,666,7376,0,0,0,0,0,0,0,830,3353,2925,428
2012,인천,17936,6541,598,6549,0,0,0,0,0,0,0,880,3368,2968,400
2013,인천,17901,6521,598,6549,0,0,0,0,0,0,0,980,3253,2818,435
2014,인천,17894,6481,598,6529,0,0,0,0,0,0,0,980,3306,2871,435
2015,인천,17799,6344,598,6554,0,0,0,0,0,0,0,1010,3293,2858,435
2016,인천,17270,6070,598,6289,0,0,0,0,0,0,0,1010,3303,2870,433
2017,인천,16829,5949,598,6068,0,0,0,0,0,0,0,1000,3214,2781,433
2018,인천,16805,5941,598,6176,0,0,0,0,0,0,0,885,3205,2774,431
2019,인천,16835,5936,598,6191,0,0,0,0,0,0,0,885,3225,2794,431
2020,인천,16804,5936,598,6191,0,0,0,0,0,0,0,885,3194,2765,429
2021,인천,16938,5895,598,6406,0,0,0,0,0,0,0,855,3184,2753,431
1999,광주,33036,13340,360,12715,0,3115,0,0,0,0,0,0,3506,3039,467
2000,광주,33655,13420,395,12705,0,3175,0,0,0,0,0,0,3960,3400,560
2001,광주,33923,13420,395,12655,0,3175,0,0,0,0,0,0,4278,3666,612
2002,광주,34976,13346,425,13345,0,3275,0,0,0,0,0,0,4585,3907,678
2003,광주,35472,13272,460,13720,0,3275,0,0,0,0,0,0,4745,4058,687
2004,광주,34115,12544,520,16235,0,0,0,0,0,0,0,0,4816,4032,784
2005,광주,32640,11772,520,15490,0,0,0,0,0,0,0,0,4858,3984,874
2006,광주,30460,10564,520,14575,0,0,0,0,0,0,0,0,4801,3855,946
2007,광주,29544,10116,478,14148,0,0,0,0,0,0,0,0,4802,3850,952
2008,광주,29252,9796,452,14176,0,0,0,0,0,0,0,0,4828,3894,934
2009,광주,28871,9566,435,13775,0,0,0,0,0,0,0,0,5095,4209,886
2010,광주,29053,9341,407,14117,0,0,0,0,0,0,0,0,5188,4247,941
2011,광주,29898,9266,369,14267,0,0,0,0,0,0,0,350,5646,4522,1124
2012,광주,28401,7029,326,15047,0,0,0,0,0,0,0,360,5639,4495,1144
2013,광주,28099,6842,326,14908,0,0,0,0,0,0,0,360,5663,4466,1197
2014,광주,27929,6602,326,14898,0,0,0,0,0,0,0,390,5713,4516,1197
2015,광주,26580,6299,326,13915,0,0,0,0,0,0,0,390,5650,4443,1207
2016,광주,26094,6084,326,13659,0,0,0,0,0,0,0,390,5635,4470,1165
2017,광주,25681,6006,326,13540,0,0,0,0,0,0,0,390,5419,4242,1177
2018,광주,25668,5996,326,13525,0,0,0,0,0,0,0,385,5436,4166,1270
2019,광주,25642,5948,326,13571,0,0,0,0,0,0,0,355,5442,4160,1282
2020,광주,25575,5871,326,13499,0,0,0,0,0,0,0,355,5524,4246,1278
2021,광주,25364,5521,326,13648,0,0,0,0,0,0,0,355,5514,4234,1280
1999,대전,35762,12340,0,15035,0,3290,0,480,0,0,0,0,4617,4098,519
2000,대전,36066,12580,0,15240,0,3330,0,120,0,0,0,0,4796,4169,627
2001,대전,36489,12580,0,15248,0,3490,0,120,0,0,0,0,5051,4417,634
2002,대전,36964,12512,0,15595,0,3590,0,120,0,0,0,0,5147,4494,653
2003,대전,37328,12444,0,15665,0,3640,0,120,0,0,0,0,5459,4793,666
2004,대전,37212,12308,0,15580,0,3640,0,120,0,0,0,0,5564,4765,799
2005,대전,36479,11932,0,15210,0,3640,0,120,0,0,0,0,5577,4687,890
2006,대전,35617,11628,0,15008,0,3342,0,120,0,0,0,0,5519,4595,924
2007,대전,35416,11450,0,14987,0,3342,0,120,0,0,0,0,5517,4578,939
2008,대전,33899,9905,0,15002,0,3342,0,120,0,0,0,0,5530,4602,928
2009,대전,33317,8939,0,17094,0,1790,0,0,0,0,0,0,5494,4599,895
2010,대전,33292,8774,0,17119,0,1790,0,0,0,0,0,0,5609,4644,965
2011,대전,33967,8989,0,17151,0,1790,0,0,0,0,0,360,5677,4702,975
2012,대전,36976,8782,0,19820,0,0,0,0,900,0,0,470,7004,5419,1585
2013,대전,37781,8641,0,19866,0,0,0,0,900,40,0,470,7864,5941,1923
2014,대전,37582,8601,0,19682,0,0,0,0,900,40,0,470,7889,5919,1970
2015,대전,36946,8331,0,19286,0,0,0,0,900,40,0,500,7889,5907,1982
2016,대전,36115,8197,0,18588,0,0,0,0,900,40,0,500,7890,5919,1971
2017,대전,35460,8048,0,18259,0,0,0,0,900,40,0,500,7713,5764,1949
2018,대전,35421,8014,0,18344,0,0,0,0,900,40,0,470,7653,5710,1943
2019,대전,35175,7829,0,18323,0,0,0,0,900,40,0,440,7643,5714,1929
2020,대전,34884,7738,0,18224,0,0,0,0,900,38,0,410,7574,5652,1922
2021,대전,34139,7228,0,18202,0,0,0,0,900,40,0,380,7389,5490,1899
1999,울산,6166,2480,0,3000,0,0,0,0,0,0,0,0,686,646,40
2000,울산,6456,2580,0,3000,0,0,0,0,0,0,0,0,876,781,95
2001,울산,7643,3720,0,3000,0,0,0,0,0,0,0,0,923,811,112
2002,울산,7606,3670,0,3000,0,0,0,0,0,0,0,0,936,820,116
2003,울산,7551,3615,0,3000,0,0,0,0,0,0,0,0,936,820,116
2004,울산,7340,3404,0,3000,0,0,0,0,0,0,0,0,936,820,116
2005,울산,7070,3134,0,3000,0,0,0,0,0,0,0,0,936,800,136
2006,울산,7070,3134,0,3000,0,0,0,0,0,0,0,0,936,800,136
2007,울산,7070,3134,0,3000,0,0,0,0,0,0,0,0,936,792,144
2008,울산,7095,3119,0,3040,0,0,0,0,0,0,0,0,936,788,148
2009,울산,7586,3075,0,3500,0,0,0,0,0,0,0,0,1011,832,179
2010,울산,7821,3025,0,3750,0,0,0,0,0,0,0,0,1046,843,203
2011,울산,8320,2999,0,3630,0,0,0,0,0,0,0,390,1301,1008,293
2012,울산,8468,2979,0,3596,0,0,0,0,0,0,0,440,1453,1054,399
2013,울산,8408,2639,0,3596,0,0,0,0,0,60,0,440,1673,1054,619
2014,울산,8355,2596,0,3596,0,0,0,0,0,60,0,430,1673,1054,619
2015,울산,8252,2521,0,3538,0,0,0,0,0,60,0,430,1703,1084,619
2016,울산,7688,2432,0,3114,0,0,0,0,0,54,0,405,1683,1064,619
2017,울산,7618,2378,0,3092,0,0,0,0,0,60,0,405,1683,1114,569
2018,울산,7613,2373,0,3092,0,0,0,0,0,60,0,405,1683,1114,569
2019,울산,7603,2413,0,3092,0,0,0,0,0,60,0,355,1683,1124,559
2020,울산,7513,2413,0,3092,0,0,0,0,0,0,0,325,1683,1139,544
2021,울산,7553,2303,0,3182,0,0,0,0,0,60,0,325,1683,1139,544
2013,세종,4857,1437,0,2949,0,0,0,0,0,0,0,0,471,365,106
2014,세종,4851,1431,0,2949,0,0,0,0,0,0,0,0,471,361,110
2015,세종,4906,1286,0,2949,0,0,0,0,0,0,0,0,671,556,115
2016,세종,4832,1219,0,2902,0,0,0,0,0,0,0,0,711,585,126
2017,세종,4762,1204,0,2816,0,0,0,0,0,0,0,0,742,620,122
2018,세종,4603,1204,0,2657,0,0,0,0,0,0,0,0,742,620,122
2019,세종,4603,1204,0,2657,0,0,0,0,0,0,0,0,742,620,122
2020,세종,4588,1169,0,2657,0,0,0,0,0,0,0,0,762,635,127
2021,세종,4682,1127,0,2773,0,0,0,0,0,0,0,0,782,655,127
1999,경기,108875,65600,0,35555,0,2020,0,100,0,0,0,0,5600,5298,302
2000,경기,112265,66960,0,35424,0,2100,0,100,0,0,0,0,7681,7229,452
