행정구역별,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023
행정구역별,대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D),대학교 수<br>(A+B+C+D),일반대<br>(A),전문대<br>(B),교육대<br>(C),산업대<br>(D)
전국,357,169,158,11,19,358,171,158,11,18,360,173,158,11,18,352,175,152,11,14,348,175,148,11,14,344,174,147,10,13,345,177,146,10,12,345,179,145,10,11,349,183,147,10,9,343,189,142,10,2,340,188,140,10,2,340,189,139,10,2,339,189,138,10,2,339,189,138,10,2,339,189,138,10,2,340,191,137,10,2,340,191,137,10,2,339,191,136,10,2,336,190,134,10,2,336,190,134,10,2,335,190,133,10,2
서울특별시,52,38,12,1,1,52,38,12,1,1,52,38,12,1,1,51,38,11,1,1,50,38,10,1,1,49,37,10,1,1,49,37,10,1,1,49,37,10,1,1,49,37,10,1,1,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-,48,38,9,1,-
부산광역시,23,11,10,1,1,23,11,10,1,1,23,11,10,1,1,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,22,12,9,1,-,21,12,8,1,-,21,12,8,1,-,21,12,8,1,-
대구광역시,10,2,7,1,-,10,2,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-,11,3,7,1,-
인천광역시,10,4,5,1,-,10,4,5,1,-,10,4,5,1,-,9,4,4,1,-,9,4,4,1,-,9,4,4,1,-,9,4,4,1,-,8,4,3,1,-,8,4,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-,7,3,3,1,-
광주광역시,16,7,7,1,1,16,8,7,1,-,16,8,7,1,-,16,8,7,1,-,16,8,7,1,-,16,8,7,1,-,16,8,7,1,-,16,8,7,1,-,17,9,7,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-,17,10,6,1,-
대전광역시,15,8,5,-,2,15,8,5,-,2,15,8,5,-,2,15,8,5,-,2,15,8,5,-,2,15,8,5,-,2,14,9,4,-,1,14,9,4,-,1,15,10,4,-,1,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-,15,11,4,-,-
울산광역시,3,1,2,-,-,3,1,2,-,-,3,1,2,-,-,3,1,2,-,-,3,1,2,-,-,3,1,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-
세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,2,1,1,-,-,2,1,1,-,-,2,1,1,-,-,2,1,1,-,-,3,2,1,-,-,3,2,1,-,-,3,2,1,-,-,3,2,1,-,-,3,2,1,-,-,3,2,1,-,-
경기도,61,24,35,-,2,63,25,36,-,2,64,26,36,-,2,63,26,35,-,2,61,26,33,-,2,62,27,33,-,2,62,27,33,-,2,62,27,33,-,2,63,27,34,-,2,62,29,33,-,-,62,29,33,-,-,61,29,32,-,-,60,29,31,-,-,60,29,31,-,-,60,29,31,-,-,61,30,31,-,-,61,30,31,-,-,61,30,31,-,-,61,30,31,-,-,61,30,31,-,-,60,30,30,-,-
강원특별자치도,20,8,10,1,1,20,8,10,1,1,20,8,10,1,1,19,8,10,1,-,18,8,9,1,-,18,8,9,1,-,18,8,9,1,-,18,8,9,1,-,19,8,10,1,-,19,8,10,1,-,18,8,9,1,-,18,8,9,1,-,18,8,9,1,-,18,8,9,1,-,18,8,9,1,-,18,8,9,1,-,18,8,9,1,-,17,8,8,1,-,17,8,8,1,-,17,8,8,1,-,17,8,8,1,-
충청북도,16,8,6,1,1,16,8,6,1,1,16,8,6,1,1,15,8,5,1,1,15,8,5,1,1,15,8,5,1,1,16,9,5,1,1,16,10,5,1,-,16,10,5,1,-,16,10,5,1,-,16,10,5,1,-,16,10,5,1,-,16,10,5,1,-,16,10,5,1,-,16,10,5,1,-,17,11,5,1,-,17,11,5,1,-,17,11,5,1,-,17,11,5,1,-,17,11,5,1,-,17,11,5,1,-
충청남도,24,13,8,1,2,24,13,8,1,2,23,13,7,1,2,23,13,7,1,2,23,13,7,1,2,23,13,7,1,2,23,13,7,1,2,23,13,7,1,2,23,13,7,1,2,23,14,7,1,1,20,12,6,1,1,21,13,6,1,1,21,13,6,1,1,21,13,6,1,1,21,13,6,1,1,21,13,6,1,1,21,13,6,1,1,21,13,6,1,1,21,13,6,1,1,21,13,6,1,1,21,13,6,1,1
전라북도,21,9,10,1,1,21,9,10,1,1,21,9,10,1,1,21,9,10,1,1,21,9,10,1,1,20,9,9,1,1,20,9,9,1,1,20,9,9,1,1,20,9,9,1,1,20,9,9,1,1,20,9,9,1,1,20,9,9,1,1,20,9,9,1,1,20,9,9,1,1,20,9,9,1,1,19,8,9,1,1,19,8,9,1,1,19,8,9,1,1,18,8,8,1,1,18,8,8,1,1,18,8,8,1,1
전라남도,23,10,11,-,2,22,10,10,-,2,22,10,10,-,2,21,9,10,-,2,21,9,10,-,2,21,9,10,-,2,21,9,10,-,2,21,9,10,-,2,21,10,10,-,1,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-,19,10,9,-,-
경상북도,38,18,18,-,2,38,18,18,-,2,38,18,18,-,2,38,19,17,-,2,38,19,17,-,2,36,18,17,-,1,36,18,17,-,1,36,19,16,-,1,36,19,16,-,1,36,20,16,-,-,35,19,16,-,-,34,18,16,-,-,34,18,16,-,-,34,18,16,-,-,34,18,16,-,-,33,18,15,-,-,33,18,15,-,-,33,18,15,-,-,33,18,15,-,-,33,18,15,-,-,33,18,15,-,-
경상남도,19,6,9,1,3,19,6,9,1,3,20,6,10,1,3,19,7,10,1,1,19,7,10,1,1,19,7,10,1,1,19,7,10,1,1,20,7,11,1,1,20,8,11,1,-,20,8,11,1,-,20,9,10,1,-,21,10,10,1,-,21,10,10,1,-,21,10,10,1,-,21,10,10,1,-,21,10,10,1,-,21,10,10,1,-,21,10,10,1,-,20,9,10,1,-,20,9,10,1,-,20,9,10,1,-
제주특별자치도,6,2,3,1,-,6,2,3,1,-,6,2,3,1,-,6,2,3,1,-,6,2,3,1,-,5,2,3,-,-,5,2,3,-,-,5,2,3,-,-,5,2,3,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-,4,2,2,-,-